ID,Alignment,Parameter,Value
020,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.328511091454e-01
020,Instrument.Alignments.Optics.MdDeflACF,Y,1.375136276533e-01
020,Instrument.Alignments.Optics.MdACRotUpp,Y,-1.380180716810e-02
020,Instrument.Alignments.Optics.MdCompUHRRem,,-5.000000000000e+00
020,Instrument.Alignments.Optics.MdACRotLow,Y,-1.324423794890e-02
020,Instrument.Alignments.Detectors.TLD.Push,,-1.540087138386e+02
020,Instrument.Alignments.Optics.MdDeflDC1,X,1.489189566828e-01
020,Instrument.Alignments.Optics.MdHRpar4,,1.100169071214e-05
020,Instrument.Alignments.Optics.MdSImRotCheb0,,-1.611184709586e+00
020,Instrument.Alignments.Optics.MdHRSatPar1,,-2.349858897519e+01
027,Instrument.Alignments.Optics.MdTLDAlign,X,-5.833333333333e-02
027,Instrument.Alignments.Optics.AlignCorrAngleUHR,[0.004;2000].Y,1.101259250149e-04
027,Instrument.Alignments.Optics.CorrStigUppYUHR,[0.002;1000].X,-2.006870953813e-03
027,Instrument.Alignments.Optics.MdSShiftTube3,Y,5.172102317030e+01
027,Instrument.Alignments.Optics.ShiftCorrAngleUHR,[1000].X,-7.166666666667e-04
027,Instrument.Alignments.Optics.MdSImRotCheb1,,3.538523480714e-01
027,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.351318968526e-01
027,Instrument.Alignments.Optics.MdDeflACF,Y,1.374044005934e-01
027,Instrument.Alignments.Optics.MdACRotUpp,Y,8.755290424976e-03
027,Instrument.Alignments.Optics.MdCompUHRRem,,-4.940000000000e+00
027,Instrument.Alignments.Optics.MdACRotLow,Y,9.951612903226e-04
027,Instrument.Alignments.Detectors.TLD.Push,,-1.658199577726e+02
027,Instrument.Alignments.Optics.MdDeflDC1,X,1.427039725030e-01
027,Instrument.Alignments.Optics.MdHRpar4,,-2.427669341826e-05
027,Instrument.Alignments.Optics.MdSImRotCheb0,,-1.610756484764e+00
027,Instrument.Alignments.Optics.MdHRSatPar1,,-2.239098440729e+01
024,Instrument.Alignments.Optics.MdTLDAlign,X,-2.604166666667e-02
024,Instrument.Alignments.Optics.AlignCorrAngleUHR,[0.004;2000].Y,2.041621344893e-05
024,Instrument.Alignments.Optics.CorrStigUppYUHR,[0.002;1000].X,-1.395072609715e-02
024,Instrument.Alignments.Optics.MdSShiftTube3,Y,-3.446437948309e+01
024,Instrument.Alignments.Optics.ShiftCorrAngleUHR,[1000].X,1.472023645054e-04
024,Instrument.Alignments.Optics.MdSImRotCheb1,,3.567362725301e-01
024,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.349599147559e-01
024,Instrument.Alignments.Optics.MdDeflACF,Y,1.379937593318e-01
024,Instrument.Alignments.Optics.MdACRotUpp,Y,2.000000000000e-03
024,Instrument.Alignments.Optics.MdCompUHRRem,,-5.000000000000e+00
024,Instrument.Alignments.Optics.MdACRotLow,Y,-8.672634954570e-04
024,Instrument.Alignments.Detectors.TLD.Push,,-1.551671158742e+02
024,Instrument.Alignments.Optics.MdDeflDC1,X,1.421231064659e-01
024,Instrument.Alignments.Optics.MdHRpar4,,-2.495593005762e-06
024,Instrument.Alignments.Optics.MdSImRotCheb0,,-1.605769627990e+00
024,Instrument.Alignments.Optics.MdHRSatPar1,,-1.757200300383e+01
003,Instrument.Alignments.Optics.MdTLDAlign,X,0.000000000000e+00
003,Instrument.Alignments.Optics.AlignCorrAngleUHR,[0.004;2000].Y,-1.741051794908e-05
003,Instrument.Alignments.Optics.CorrStigUppYUHR,[0.002;1000].X,3.010810849357e-03
003,Instrument.Alignments.Optics.MdSShiftTube3,Y,3.025097052969e+01
003,Instrument.Alignments.Optics.ShiftCorrAngleUHR,[1000].X,-8.333333333333e-06
003,Instrument.Alignments.Optics.MdSImRotCheb1,,3.655954067488e-01
003,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.319902867816e-01
003,Instrument.Alignments.Optics.MdDeflACF,Y,1.379256697827e-01
003,Instrument.Alignments.Optics.MdACRotUpp,Y,-9.800000000000e-04
003,Instrument.Alignments.Optics.MdCompUHRRem,,-5.000000000000e+00
003,Instrument.Alignments.Optics.MdACRotLow,Y,-2.150000000000e-03
003,Instrument.Alignments.Detectors.TLD.Push,,-1.685486247087e+02
003,Instrument.Alignments.Optics.MdDeflDC1,X,1.488882223217e-01
003,Instrument.Alignments.Optics.MdHRpar4,,3.866741399352e-05
003,Instrument.Alignments.Optics.MdSImRotCheb0,,-1.609978852666e+00
003,Instrument.Alignments.Optics.MdHRSatPar1,,-1.907737958798e+01
015,Instrument.Alignments.Optics.MdTLDAlign,X,0.000000000000e+00
015,Instrument.Alignments.Optics.AlignCorrAngleUHR,[0.004;2000].Y,-1.026884591565e-04
015,Instrument.Alignments.Optics.CorrStigUppYUHR,[0.002;1000].X,-2.211405159526e-02
015,Instrument.Alignments.Optics.MdSShiftTube3,Y,4.753028744857e+01
015,Instrument.Alignments.Optics.ShiftCorrAngleUHR,[1000].X,2.500000000000e-04
015,Instrument.Alignments.Optics.MdSImRotCheb1,,3.451422451510e-01
015,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.290250863748e-01
015,Instrument.Alignments.Optics.MdDeflACF,Y,1.380789741985e-01
015,Instrument.Alignments.Optics.MdACRotUpp,Y,-9.800000000000e-04
015,Instrument.Alignments.Optics.MdCompUHRRem,,-5.000000000000e+00
015,Instrument.Alignments.Optics.MdACRotLow,Y,-2.150000000000e-03
015,Instrument.Alignments.Detectors.TLD.Push,,-1.686913134322e+02
015,Instrument.Alignments.Optics.MdDeflDC1,X,1.421923343770e-01
015,Instrument.Alignments.Optics.MdHRpar4,,9.549750916880e-06
015,Instrument.Alignments.Optics.MdSImRotCheb0,,-1.607301625531e+00
015,Instrument.Alignments.Optics.MdHRSatPar1,,-2.161134005994e+01
035,Instrument.Alignments.Optics.MdTLDAlign,X,-4.068463009724e-02
035,Instrument.Alignments.Optics.AlignCorrAngleUHR,[0.004;2000].Y,3.645612200550e-04
035,Instrument.Alignments.Optics.CorrStigUppYUHR,[0.002;1000].X,-4.684547371776e-02
035,Instrument.Alignments.Optics.MdSShiftTube3,Y,-2.832970384445e+01
035,Instrument.Alignments.Optics.ShiftCorrAngleUHR,[1000].X,-7.148640874878e-04
035,Instrument.Alignments.Optics.MdSImRotCheb1,,3.563551807839e-01
035,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.329236815430e-01
035,Instrument.Alignments.Optics.MdDeflACF,Y,1.385142800496e-01
035,Instrument.Alignments.Optics.MdACRotUpp,Y,1.600000000000e-02
035,Instrument.Alignments.Optics.MdCompUHRRem,,-5.000000000000e+00
035,Instrument.Alignments.Optics.MdACRotLow,Y,9.787842669845e-03
035,Instrument.Alignments.Detectors.TLD.Push,,-1.309108912820e+02
035,Instrument.Alignments.Optics.MdDeflDC1,X,1.427732583490e-01
035,Instrument.Alignments.Optics.MdHRpar4,,-1.482203540425e-05
035,Instrument.Alignments.Optics.MdSImRotCheb0,,-1.615628697600e+00
035,Instrument.Alignments.Optics.MdHRSatPar1,,-2.326374406634e+01
026,Instrument.Alignments.Optics.MdTLDAlign,X,-2.052083333333e-02
026,Instrument.Alignments.Optics.AlignCorrAngleUHR,[0.004;2000].Y,2.296840177593e-06
026,Instrument.Alignments.Optics.CorrStigUppYUHR,[0.002;1000].X,-1.292423604367e-03
026,Instrument.Alignments.Optics.MdSShiftTube3,Y,-8.108160426319e+01
026,Instrument.Alignments.Optics.ShiftCorrAngleUHR,[1000].X,5.197466981209e-04
026,Instrument.Alignments.Optics.MdSImRotCheb1,,3.577262250704e-01
026,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.317153403125e-01
026,Instrument.Alignments.Optics.MdDeflACF,Y,1.375691540713e-01
026,Instrument.Alignments.Optics.MdACRotUpp,Y,2.000000000000e-03
026,Instrument.Alignments.Optics.MdCompUHRRem,,-5.020000000000e+00
026,Instrument.Alignments.Optics.MdACRotLow,Y,-2.150000000000e-03
