ID,Alignment,Parameter,Value
024,Instrument.Alignments.Optics.MdACRotUpp,Y,-9.800000000000e-04
024,Instrument.Alignments.Optics.MdCompUHRRem,,-2.000000000000e+01
024,Instrument.Alignments.Optics.MdACRotLow,Y,-2.150000000000e-03
024,Instrument.Alignments.Detectors.TLD.Push,,-1.595757859578e+02
024,Instrument.Alignments.Optics.MdDeflDC1,X,1.426000000000e-01
024,Instrument.Alignments.Optics.MdHRpar4,,2.472410021791e-05
024,Instrument.Alignments.Optics.MdSImRotCheb0,,-1.620000000000e+00
024,Instrument.Alignments.Optics.MdHRSatPar1,,-1.885000000000e+01
003,Instrument.Alignments.Optics.MdTLDAlign,X,-6.764487712086e-02
003,Instrument.Alignments.Optics.AlignCorrAngleUHR,[0.004;2000].Y,-1.119733600310e-04
003,Instrument.Alignments.Optics.CorrStigUppYUHR,[0.002;1000].X,-1.187108429494e-03
003,Instrument.Alignments.Optics.MdSShiftTube3,Y,2.742919199395e+01
003,Instrument.Alignments.Optics.ShiftCorrAngleUHR,[1000].X,2.196928070550e-04
003,Instrument.Alignments.Optics.MdSImRotCheb1,,3.570000000000e-01
003,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.426000000000e-01
003,Instrument.Alignments.Optics.MdDeflACF,Y,1.458550000000e-01
003,Instrument.Alignments.Optics.MdACRotUpp,Y,-9.800000000000e-04
003,Instrument.Alignments.Optics.MdCompUHRRem,,-2.000000000000e+01
003,Instrument.Alignments.Optics.MdACRotLow,Y,-2.150000000000e-03
003,Instrument.Alignments.Detectors.TLD.Push,,-2.473695620841e+02
003,Instrument.Alignments.Optics.MdDeflDC1,X,1.426000000000e-01
003,Instrument.Alignments.Optics.MdHRpar4,,6.297147489416e-06
003,Instrument.Alignments.Optics.MdSImRotCheb0,,-1.620000000000e+00
003,Instrument.Alignments.Optics.MdHRSatPar1,,-1.675646812689e+01
015,Instrument.Alignments.Optics.MdTLDAlign,X,-6.250000000000e-02
015,Instrument.Alignments.Optics.AlignCorrAngleUHR,[0.004;2000].Y,-9.693970000000e-05
015,Instrument.Alignments.Optics.CorrStigUppYUHR,[0.002;1000].X,-2.373790000000e-02
015,Instrument.Alignments.Optics.MdSShiftTube3,Y,4.050364334360e+01
015,Instrument.Alignments.Optics.ShiftCorrAngleUHR,[1000].X,-4.083330000000e-04
015,Instrument.Alignments.Optics.MdSImRotCheb1,,2.681000000000e-01
015,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.426000000000e-01
015,Instrument.Alignments.Optics.MdDeflACF,Y,1.458550000000e-01
015,Instrument.Alignments.Optics.MdACRotUpp,Y,0.000000000000e+00
015,Instrument.Alignments.Optics.MdCompUHRRem,,-2.000000000000e+01
015,Instrument.Alignments.Optics.MdACRotLow,Y,0.000000000000e+00
015,Instrument.Alignments.Detectors.TLD.Push,,-1.536800000000e+02
015,Instrument.Alignments.Optics.MdDeflDC1,X,1.426000000000e-01
015,Instrument.Alignments.Optics.MdHRpar4,,7.741488419672e-06
015,Instrument.Alignments.Optics.MdSImRotCheb0,,-1.576900000000e+00
015,Instrument.Alignments.Optics.MdHRSatPar1,,-2.307463998766e+01
035,Instrument.Alignments.Optics.MdTLDAlign,X,-6.627428696759e-02
035,Instrument.Alignments.Optics.AlignCorrAngleUHR,[0.004;2000].Y,-2.474360423802e-05
035,Instrument.Alignments.Optics.CorrStigUppYUHR,[0.002;1000].X,-3.883838057216e-03
035,Instrument.Alignments.Optics.MdSShiftTube3,Y,-1.476450838260e+01
035,Instrument.Alignments.Optics.ShiftCorrAngleUHR,[1000].X,-5.382628464113e-04
035,Instrument.Alignments.Optics.MdSImRotCheb1,,3.570000000000e-01
035,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.426000000000e-01
035,Instrument.Alignments.Optics.MdDeflACF,Y,1.458550000000e-01
035,Instrument.Alignments.Optics.MdACRotUpp,Y,-9.800000000000e-04
035,Instrument.Alignments.Optics.MdCompUHRRem,,-1.000000000000e+01
035,Instrument.Alignments.Optics.MdACRotLow,Y,-2.150000000000e-03
035,Instrument.Alignments.Detectors.TLD.Push,,-1.320686967871e+02
035,Instrument.Alignments.Optics.MdDeflDC1,X,1.426000000000e-01
035,Instrument.Alignments.Optics.MdHRpar4,,2.916869773605e-05
035,Instrument.Alignments.Optics.MdSImRotCheb0,,-1.620000000000e+00
035,Instrument.Alignments.Optics.MdHRSatPar1,,-2.558608335367e+01
026,Instrument.Alignments.Optics.MdTLDAlign,X,-7.500000000000e-02
026,Instrument.Alignments.Optics.AlignCorrAngleUHR,[0.004;2000].Y,-1.314740000000e-04
026,Instrument.Alignments.Optics.CorrStigUppYUHR,[0.002;1000].X,-5.016660000000e-04
026,Instrument.Alignments.Optics.MdSShiftTube3,Y,-6.512254522822e+01
026,Instrument.Alignments.Optics.ShiftCorrAngleUHR,[1000].X,2.583330000000e-04
026,Instrument.Alignments.Optics.MdSImRotCheb1,,3.570000000000e-01
026,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.426000000000e-01
026,Instrument.Alignments.Optics.MdDeflACF,Y,1.458550000000e-01
026,Instrument.Alignments.Optics.MdACRotUpp,Y,-9.800000000000e-04
026,Instrument.Alignments.Optics.MdCompUHRRem,,-2.000000000000e+01
026,Instrument.Alignments.Optics.MdACRotLow,Y,-2.150000000000e-03
